"name","venue","count"
"Australia","PODS","3"
"Australia","SIGMOD","36"
"Austria","PODS","9"
"Austria","SIGMOD","13"
"Belgium","PODS","19"
"Belgium","SIGMOD","12"
"Brazil","PODS","1"
"Brazil","SIGMOD","11"
"Canada","PODS","16"
"Canada","SIGMOD","145"
"Chile","PODS","8"
"Chile","SIGMOD","3"
"China","PODS","1"
"China","SIGMOD","75"
"Cyprus","SIGMOD","4"
"Czech Republic","SIGMOD","1"
"Denmark","PODS","5"
"Denmark","SIGMOD","13"
"Finland","SIGMOD","3"
"France","PODS","22"
"France","SIGMOD","46"
"Germany","PODS","29"
"Germany","SIGMOD","144"
"Greece","PODS","3"
"Greece","SIGMOD","43"
"Hong Kong","PODS","10"
"Hong Kong","SIGMOD","75"
"Hungary","PODS","1"
"Iceland","SIGMOD","4"
"India","PODS","7"
"India","SIGMOD","37"
"Ireland","SIGMOD","1"
"Israel","PODS","28"
"Israel","SIGMOD","28"
"Italy","PODS","25"
"Italy","SIGMOD","71"
"Japan","PODS","1"
"Japan","SIGMOD","13"
"Kazakhstan","SIGMOD","1"
"Netherlands","PODS","7"
"Netherlands","SIGMOD","33"
"New Zealand","PODS","2"
"Norway","SIGMOD","5"
"Philippines","PODS","1"
"Poland","PODS","7"
"Poland","SIGMOD","4"
"Portugal","SIGMOD","2"
"Qatar","SIGMOD","2"
"Saudi Arabia","SIGMOD","2"
"Singapore","PODS","1"
"Singapore","SIGMOD","80"
"South Korea","SIGMOD","33"
"Spain","PODS","1"
"Spain","SIGMOD","20"
"Sweden","SIGMOD","2"
"Switzerland","PODS","3"
"Switzerland","SIGMOD","68"
"Taiwan","SIGMOD","6"
"Thailand","SIGMOD","2"
"Turkey","SIGMOD","9"
"Ukraine","SIGMOD","1"
"United Kingdom","PODS","39"
"United Kingdom","SIGMOD","70"
"United States","PODS","204"
"United States","SIGMOD","1311"
"Venezuela","SIGMOD","2"
